score, window_size, features, neighbors,,,,,,,,,,,,
0.7547955669899511,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],25
0.7547290734140284,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],25,,,
0.7546918489415815,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],25
0.7546424200416519,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],25,,,
0.7537501144802624,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance'],300,
0.7528037468454025,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge'],300,,,,
0.7514587913874683,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge', 'entropy'],50,,,
0.751439785812972,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge'],50,,,,
0.7512025208404293,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],50,,,
0.7507241096053969,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],50
0.7506133467659939,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance'],10,
0.7501009909495838,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance'],10,
0.7498380214523553,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance'],5,
